team1,team2,score1,score2,event,date,winner
NRG,Marsborne,2,1,fl0m Mythical LAN Las Vegas 2026,Results for January 12th 2026,NRG
M80,Voca,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,M80
Fingers Crossed,777,2,0,A1 Gaming League Season 11,Results for January 11th 2026,Fingers Crossed
HyperSpirit,CSDIILIT,1,2,European Pro League Series 4 Closed Qualifier,Results for January 11th 2026,CSDIILIT
Acend,Washington,2,0,A1 Gaming League Season 11,Results for January 11th 2026,Acend
ex-CPH Wolves,BRUTE,0,1,A1 Gaming League Season 11,Results for January 11th 2026,BRUTE
BRUTE,Washington,1,2,European Pro League Series 4 Closed Qualifier,Results for January 11th 2026,Washington
BOSS,Marsborne,0,2,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,Marsborne
Voca,Rave,2,1,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,Voca
regain,Marsborne,0,2,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,Marsborne
M80,BOSS,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,M80
Phoenix,Rave,1,2,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,Rave
NRG,Voca,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,NRG
AaB,MASONIC,2,1,A1 Gaming League Season 11,Results for January 10th 2026,AaB
Phantom,HyperSpirit,0,2,A1 Gaming League Season 11,Results for January 10th 2026,HyperSpirit
GenOne,CSDIILIT,2,0,A1 Gaming League Season 11,Results for January 10th 2026,GenOne
japczany,MASONIC,0,2,European Pro League Series 4 Closed Qualifier,Results for January 10th 2026,MASONIC
777,FUT Academy,0,2,European Pro League Series 4 Closed Qualifier,Results for January 10th 2026,FUT Academy
Marsborne,BOSS,1,2,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,BOSS
M80,regain,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,M80
Voca,Rave,2,1,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,Voca
NRG,Phoenix,2,1,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,NRG
Eternal Fire,STATE,2,0,A1 Gaming League Season 11,Results for January 9th 2026,Eternal Fire
Universe,los kogutos,0,1,A1 Gaming League Season 11,Results for January 9th 2026,los kogutos
Bebop,los kogutos,2,0,European Pro League Series 4 Closed Qualifier,Results for January 9th 2026,Bebop
Universe,STATE,0,2,European Pro League Series 4 Closed Qualifier,Results for January 9th 2026,STATE
Lilmix,Bushido Wildcats,1,2,European Pro League Series 4 Closed Qualifier,Results for January 8th 2026,Bushido Wildcats
ALGO,MANA,1,2,European Pro League Series 4 Closed Qualifier,Results for January 8th 2026,MANA
Washington,CSDIILIT,1,2,European Pro League Series 4 Closed Qualifier,Results for January 7th 2026,CSDIILIT
BRUTE,HyperSpirit,1,2,European Pro League Series 4 Closed Qualifier,Results for January 7th 2026,HyperSpirit
FUT Academy,MASONIC,0,2,European Pro League Series 4 Closed Qualifier,Results for January 6th 2026,MASONIC
japczany,777,2,1,European Pro League Series 4 Closed Qualifier,Results for January 6th 2026,japczany
ASTRAL,OlyBet,1,2,Urban Riga Open Season 2,Results for January 5th 2026,OlyBet
MOUZ NXT,ALGO,2,0,Urban Riga Open Season 2,Results for January 5th 2026,MOUZ NXT
ALGO,OlyBet,2,1,Urban Riga Open Season 2,Results for January 5th 2026,ALGO
ASTRAL,MOUZ NXT,0,2,Urban Riga Open Season 2,Results for January 5th 2026,MOUZ NXT
WOPA,los kogutos,0,2,European Pro League Series 4 Closed Qualifier,Results for January 5th 2026,los kogutos
AaB,OlyBet,1,2,Urban Riga Open Season 2,Results for January 5th 2026,OlyBet
MOUZ NXT,Friendly Campers,2,0,Urban Riga Open Season 2,Results for January 5th 2026,MOUZ NXT
Bebop,Universe,1,0,European Pro League Series 4 Closed Qualifier,Results for January 5th 2026,Bebop
NRG,9INE,3,1,Fragadelphia Miami 2026,Results for January 5th 2026,NRG
GamerLegion,M80,2,0,Fragadelphia Miami 2026,Results for January 5th 2026,GamerLegion
9INE,M80,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,9INE
NRG,GamerLegion,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,NRG
CSDIILIT,ALGO,16,14,Urban Riga Open Season 2,Results for January 4th 2026,CSDIILIT
SemperFi,OlyBet,6,13,Urban Riga Open Season 2,Results for January 4th 2026,OlyBet
MOUZ NXT,EC BANGA,13,7,Urban Riga Open Season 2,Results for January 4th 2026,MOUZ NXT
ALGO,SemperFi,16,13,Urban Riga Open Season 2,Results for January 4th 2026,ALGO
MOUZ NXT,CSDIILIT,13,8,Urban Riga Open Season 2,Results for January 4th 2026,MOUZ NXT
EC BANGA,OlyBet,5,13,Urban Riga Open Season 2,Results for January 4th 2026,OlyBet
M80,Marsborne,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,M80
GamerLegion,Venom,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,GamerLegion
EC BANGA,SemperFi,13,10,Urban Riga Open Season 2,Results for January 4th 2026,EC BANGA
MOUZ NXT,ALGO,8,13,Urban Riga Open Season 2,Results for January 4th 2026,ALGO
9INE,Wildcard,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,9INE
OlyBet,CSDIILIT,4,13,Urban Riga Open Season 2,Results for January 4th 2026,CSDIILIT
NRG,Voca,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,NRG
MOUZ NXT,SemperFi,13,8,Urban Riga Open Season 2,Results for January 4th 2026,MOUZ NXT
OlyBet,ALGO,3,13,Urban Riga Open Season 2,Results for January 4th 2026,ALGO
EC BANGA,CSDIILIT,13,7,Urban Riga Open Season 2,Results for January 4th 2026,EC BANGA
BetBoom,HOTU,2,0,META Cup Season 3,Results for January 4th 2026,BetBoom
MOUZ NXT,OlyBet,13,10,Urban Riga Open Season 2,Results for January 4th 2026,MOUZ NXT
ALGO,EC BANGA,13,10,Urban Riga Open Season 2,Results for January 4th 2026,ALGO
SemperFi,CSDIILIT,13,8,Urban Riga Open Season 2,Results for January 4th 2026,SemperFi
megoshort,Prestige,2,1,United21 Christmas Cup 2025,Results for January 4th 2026,megoshort
DEPO,HOTU,0,2,META Cup Season 3,Results for January 4th 2026,HOTU
ASTRAL,MINLATE,13,4,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL
Fingers Crossed,SINQU,13,5,Urban Riga Open Season 2,Results for January 4th 2026,Fingers Crossed
Friendly Campers,AaB,7,13,Urban Riga Open Season 2,Results for January 4th 2026,AaB
Fingers Crossed,MINLATE,16,19,Urban Riga Open Season 2,Results for January 4th 2026,MINLATE
SINQU,AaB,3,13,Urban Riga Open Season 2,Results for January 4th 2026,AaB
ASTRAL,Friendly Campers,13,10,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL
AaB,MINLATE,13,9,Urban Riga Open Season 2,Results for January 4th 2026,AaB
BetBoom,HOTU,2,1,META Cup Season 3,Results for January 4th 2026,BetBoom
ASTRAL,Fingers Crossed,13,10,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL
SINQU,Friendly Campers,11,13,Urban Riga Open Season 2,Results for January 4th 2026,Friendly Campers
ALLINNERS,DEPO,1,2,META Cup Season 3,Results for January 4th 2026,DEPO
AaB,Fingers Crossed,13,8,Urban Riga Open Season 2,Results for January 4th 2026,AaB
ASTRAL,SINQU,13,6,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL
MINLATE,Friendly Campers,2,13,Urban Riga Open Season 2,Results for January 4th 2026,Friendly Campers
ASTRAL,AaB,16,14,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL
MINLATE,SINQU,13,10,Urban Riga Open Season 2,Results for January 4th 2026,MINLATE
Friendly Campers,Fingers Crossed,13,4,Urban Riga Open Season 2,Results for January 4th 2026,Friendly Campers
Venom,F5,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,Venom
Wildcard,Sharks,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,Wildcard
Memeories,F5,1,2,Fragadelphia Miami 2026,Results for January 4th 2026,F5
9INE,Venom,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,9INE
GamerLegion,Sharks,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,GamerLegion
Beyond Limits,Wildcard,0,2,Fragadelphia Miami 2026,Results for January 4th 2026,Wildcard
Venom,F5,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,Venom
Wildcard,Sharks,0,2,Fragadelphia Miami 2026,Results for January 3rd 2026,Sharks
9INE,Memeories,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,9INE
Reign Above,Marsborne,0,2,Fragadelphia Miami 2026,Results for January 3rd 2026,Marsborne
GamerLegion,Beyond Limits,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,GamerLegion
Outfit 49,Voca,0,2,Fragadelphia Miami 2026,Results for January 3rd 2026,Voca
DEPO,NOVAQ,2,1,META Cup Season 3,Results for January 3rd 2026,DEPO
Marsborne,NRG,1,2,Fragadelphia Miami 2026,Results for January 3rd 2026,NRG
Reign Above,Kraken Seas,2,1,Fragadelphia Miami 2026,Results for January 3rd 2026,Reign Above
M80,Voca,2,1,Fragadelphia Miami 2026,Results for January 3rd 2026,M80
Dark Knight,Outfit 49,1,2,Fragadelphia Miami 2026,Results for January 3rd 2026,Outfit 49
Omega,ALLINNERS,1,2,META Cup Season 3,Results for January 3rd 2026,ALLINNERS
HOTU,NOVAQ,2,1,META Cup Season 3,Results for January 3rd 2026,HOTU
Voca,Outfit 49,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,Voca
M80,Dark Knight,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,M80
NRG,Kraken Seas,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,NRG
Marsborne,Reign Above,2,0,Fragadelphia Miami 2026,Results for January 3rd 2026,Marsborne
ALTAY,ALLINNERS,0,2,META Cup Season 3,Results for January 3rd 2026,ALLINNERS
Omega,BetBoom,0,2,META Cup Season 3,Results for January 3rd 2026,BetBoom
FOKUS,Prestige,0,2,United21 Christmas Cup 2025,Results for January 3rd 2026,Prestige
DEPO,Winners,2,0,META Cup Season 3,Results for January 3rd 2026,DEPO
NOVAQ,ALLINNERS,2,1,META Cup Season 3,Results for January 3rd 2026,NOVAQ
megoshort,Chicken Burger,2,0,United21 Christmas Cup 2025,Results for January 3rd 2026,megoshort
HOTU,ALTAY,2,0,META Cup Season 3,Results for January 3rd 2026,HOTU
BetBoom,Winners,2,0,META Cup Season 3,Results for January 3rd 2026,BetBoom
DEPO,Omega,0,2,META Cup Season 3,Results for January 3rd 2026,Omega
Prestige,NAVI Junior,2,1,United21 Christmas Cup 2025,Results for December 30th 2025,Prestige
ex-GANK,FOKUS,1,2,United21 Christmas Cup 2025,Results for December 30th 2025,FOKUS
Morningstar,Rare Atom,1,3,MaceMedia VOID Masters 2025,Results for December 30th 2025,Rare Atom
Eternal Fire Academy,Chicken Burger,0,2,United21 Christmas Cup 2025,Results for December 30th 2025,Chicken Burger
FUT Academy,megoshort,0,2,United21 Christmas Cup 2025,Results for December 30th 2025,megoshort
Rare Atom,FengDa,2,0,MaceMedia VOID Masters 2025,Results for December 30th 2025,Rare Atom
FengDa,Just Swing,2,1,MaceMedia VOID Masters 2025,Results for December 29th 2025,FengDa
Rare Atom,Morningstar,1,2,MaceMedia VOID Masters 2025,Results for December 29th 2025,Morningstar
Team CyberDynamo,Team CS2NEWS,2,1,BetBoom Streamers Battle Season 4 Finals,Results for December 28th 2025,Team CyberDynamo
Team chopper,Team magixx,10,13,Showmatch CS,Results for December 28th 2025,Team magixx
Shika,Just Swing,1,2,MaceMedia VOID Masters 2025,Results for December 28th 2025,Just Swing
Team CS2NEWS,Team Buster,2,0,BetBoom Streamers Battle Season 4 Finals,Results for December 28th 2025,Team CS2NEWS
Concept Cult,Minsk House,0,3,Betera Esports League Season 3 Finals,Results for December 28th 2025,Minsk House
ZUFE,BUT,2,1,Perfect World National League College Series Fall 2025 Finals,Results for December 28th 2025,ZUFE
Preasy Mix,MANA,2,0,European Pro League Cup 3,Results for December 28th 2025,Preasy Mix
Last Bullet,FengDa,1,2,MaceMedia VOID Masters 2025,Results for December 28th 2025,FengDa
Team Shadowkek,Team Buster,1,2,BetBoom Streamers Battle Season 4 Finals,Results for December 27th 2025,Team Buster
Morningstar,FengDa,2,1,MaceMedia VOID Masters 2025,Results for December 27th 2025,Morningstar
Omega,GoodGame Club,0,2,GORILLA Cyber Energy Ultimate Shot 2025 Finals,Results for December 27th 2025,GoodGame Club
MANA,CSDIILIT,2,1,European Pro League Cup 3,Results for December 27th 2025,MANA
Team CS2NEWS,Team CyberDynamo,0,2,BetBoom Streamers Battle Season 4 Finals,Results for December 27th 2025,Team CyberDynamo
Rare Atom,Just Swing,2,0,MaceMedia VOID Masters 2025,Results for December 27th 2025,Rare Atom
Minsk House,PLATOON Beta,2,0,Betera Esports League Season 3 Finals,Results for December 27th 2025,Minsk House
Preasy Mix,CSDIILIT,2,0,European Pro League Cup 3,Results for December 27th 2025,Preasy Mix
Concept Cult,benched gods,2,0,Betera Esports League Season 3 Finals,Results for December 27th 2025,Concept Cult
MANA,megoshort,2,0,European Pro League Cup 3,Results for December 26th 2025,MANA
XI,megoshort,0,2,European Pro League Cup 3,Results for December 25th 2025,megoshort
Prestige,MANA,0,2,European Pro League Cup 3,Results for December 25th 2025,MANA
CSDIILIT,megoshort,2,0,European Pro League Cup 3,Results for December 24th 2025,CSDIILIT
GenOne,Nemesis,2,0,Exort Meteor Season 1,Results for December 23rd 2025,GenOne
Nemesis,FORZE Reload,2,1,Exort Meteor Season 1,Results for December 23rd 2025,Nemesis
Eternal Fire Academy,MANA,0,2,European Pro League Cup 3,Results for December 23rd 2025,MANA
GenOne,33,2,1,Exort Meteor Season 1,Results for December 23rd 2025,GenOne
Preasy Mix,Prestige,2,1,European Pro League Cup 3,Results for December 23rd 2025,Preasy Mix
WOPA,XI,1,2,European Pro League Cup 3,Results for December 23rd 2025,XI
FORZE Reload,los kogutos,2,0,Exort Meteor Season 1,Results for December 22nd 2025,FORZE Reload
Phantom,GenOne,1,2,Exort Meteor Season 1,Results for December 22nd 2025,GenOne
33,SPARTA,2,1,Exort Meteor Season 1,Results for December 22nd 2025,33
MANA,megoshort,1,2,European Pro League Cup 3,Results for December 22nd 2025,megoshort
Wildcard Academy,Tricked,1,2,United21 League Season 42,Results for December 22nd 2025,Tricked
CSDIILIT,Eternal Fire Academy,2,0,European Pro League Cup 3,Results for December 22nd 2025,CSDIILIT
Sangal,Nemesis,0,2,Exort Meteor Season 1,Results for December 22nd 2025,Nemesis
ShindeN,9z,0,3,Cajunto Copa do Brasil 2025,Results for December 22nd 2025,9z
SAW,Ninjas in Pyjamas,0,2,Roman Imperium Cup III,Results for December 21st 2025,Ninjas in Pyjamas
FORZE Reload,WATERMELON,0,2,Exort Series 20,Results for December 21st 2025,WATERMELON
9z,GameHunters,2,0,Cajunto Copa do Brasil 2025,Results for December 21st 2025,9z
hindsight,Peekaboo,0,2,ELITE FE Cup 7,Results for December 21st 2025,Peekaboo
Phantom,los kogutos,2,0,Betclic Clash Mistrzostwa Polski 2025,Results for December 21st 2025,Phantom
ex-Nemesis Impact,Peekaboo,0,2,ELITE FE Cup 7,Results for December 21st 2025,Peekaboo
Flame Sharks fe,Peekaboo,0,2,ELITE FE Cup 7,Results for December 21st 2025,Peekaboo
Gentle Mates,Ninjas in Pyjamas,0,2,Roman Imperium Cup III,Results for December 21st 2025,Ninjas in Pyjamas
CYBERSHOKE,BESTIA,0,2,Digital Crusade DraculaN Season 4,Results for December 21st 2025,BESTIA
ShindeN,FOLHA AMARELA,2,0,Cajunto Copa do Brasil 2025,Results for December 21st 2025,ShindeN
SAW,Sharks,2,0,Roman Imperium Cup III,Results for December 21st 2025,SAW
WATERMELON,Nemesis,2,0,Exort Series 20,Results for December 21st 2025,WATERMELON
los kogutos,MINLATE,2,1,Betclic Clash Mistrzostwa Polski 2025,Results for December 21st 2025,los kogutos
Overpeek,Peekaboo,1,2,ELITE FE Cup 7,Results for December 21st 2025,Peekaboo
ex-Nemesis Impact,hindsight,0,2,ELITE FE Cup 7,Results for December 21st 2025,hindsight
confidence,Flame Sharks fe,0,2,ELITE FE Cup 7,Results for December 21st 2025,Flame Sharks fe
FORZE Reload,AaB,2,1,Exort Series 20,Results for December 21st 2025,FORZE Reload
K27,WHITEBIRD,3,0,Myskill Pro League Season 3 Finals,Results for December 21st 2025,K27
Flame Sharks fe,hindsight,0,2,ELITE FE Cup 7,Results for December 21st 2025,hindsight
Sharks,ASTRAL,2,0,Roman Imperium Cup III,Results for December 21st 2025,Sharks
ex-Nemesis Impact,Peekaboo,2,1,ELITE FE Cup 7,Results for December 21st 2025,ex-Nemesis Impact
SAW,Impulse GW,2,0,Roman Imperium Cup III,Results for December 21st 2025,SAW
Friendly Campers,BESTIA,0,2,Digital Crusade DraculaN Season 4,Results for December 21st 2025,BESTIA
Prestige,XI,2,0,European Pro League Cup 3,Results for December 21st 2025,Prestige
Misa,Bushido Wildcats,2,1,Wraith TESFED League Season 2 Finals,Results for December 21st 2025,Misa
Eternal Fire,GenOne,0,2,Exort Meteor Season 1,Results for December 21st 2025,GenOne
JiJieHao,Chinggis Warriors,1,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 21st 2025,Chinggis Warriors
Phantom,MINLATE,2,1,Betclic Clash Mistrzostwa Polski 2025,Results for December 21st 2025,Phantom
Preasy Mix,WOPA,2,1,European Pro League Cup 3,Results for December 21st 2025,Preasy Mix
Ninjas in Pyjamas,Famalicão,2,0,Roman Imperium Cup III,Results for December 21st 2025,Ninjas in Pyjamas
Tricked,ALGO,2,1,United21 League Season 42,Results for December 21st 2025,Tricked
Gentle Mates,EXSAD,2,0,Roman Imperium Cup III,Results for December 21st 2025,Gentle Mates
los kogutos,TNC,2,0,Betclic Clash Mistrzostwa Polski 2025,Results for December 21st 2025,los kogutos
WHITEBIRD,Oxuji,2,0,Myskill Pro League Season 3 Finals,Results for December 21st 2025,WHITEBIRD
Change The Game,Chinggis Warriors,1,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 21st 2025,Chinggis Warriors
Legion,Arise,0,2,Dust2 India 1xBet Masters 29,Results for December 21st 2025,Arise
Sangal,Mousquetaires,1,0,Exort Meteor Season 1,Results for December 21st 2025,Sangal
WahWah,Arise,0,2,Dust2 India 1xBet Masters 29,Results for December 21st 2025,Arise
Legion,ShaatirLonday,2,0,Dust2 India 1xBet Masters 29,Results for December 21st 2025,Legion
Eruption,JiJieHao,0,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 21st 2025,JiJieHao
GameHunters,Fuego,2,1,Cajunto Copa do Brasil 2025,Results for December 21st 2025,GameHunters
ASTRAL,USA,2,0,Roman Imperium Cup III,Results for December 21st 2025,ASTRAL
Nemesis,ALGO,2,0,Exort Series 20,Results for December 20th 2025,Nemesis
Underground,USA,1,2,Roman Imperium Cup III,Results for December 20th 2025,USA
TNC,DOM TOWAROWY,2,1,Betclic Clash Mistrzostwa Polski 2025,Results for December 20th 2025,TNC
9z,BESTIA Academy,2,0,Cajunto Copa do Brasil 2025,Results for December 20th 2025,9z
los kogutos,Horizon,2,0,Betclic Clash Mistrzostwa Polski 2025,Results for December 20th 2025,los kogutos
ASTRAL,Ninjas in Pyjamas,0,2,Roman Imperium Cup III,Results for December 20th 2025,Ninjas in Pyjamas
33,WATERMELON,1,2,Exort Series 20,Results for December 20th 2025,WATERMELON
Phantom,VP.Prodigy,2,0,Exort Meteor Season 1,Results for December 20th 2025,Phantom
Keyd Stars,FOLHA AMARELA,1,2,Cajunto Copa do Brasil 2025,Results for December 20th 2025,FOLHA AMARELA
CYBERSHOKE,BESTIA,2,1,Digital Crusade DraculaN Season 4,Results for December 20th 2025,CYBERSHOKE
Friendly Campers,fnatic,2,1,Digital Crusade DraculaN Season 4,Results for December 20th 2025,Friendly Campers
Ninjas in Pyjamas,USA,13,4,Roman Imperium Cup III,Results for December 20th 2025,Ninjas in Pyjamas
ASTRAL,Underground,13,2,Roman Imperium Cup III,Results for December 20th 2025,ASTRAL
Rebels,Impulse GW,1,2,Roman Imperium Cup III,Results for December 20th 2025,Impulse GW
BASEMENT BOYS,los kogutos,0,2,Exort Meteor Season 1,Results for December 20th 2025,los kogutos
Betclic,SPARTA,0,1,Exort Meteor Season 1,Results for December 20th 2025,SPARTA
Partizan,FORZE Reload,0,1,Exort Meteor Season 1,Results for December 20th 2025,FORZE Reload
FORZE Reload,CYBERSHOKE Prospects,2,1,Exort Series 20,Results for December 20th 2025,FORZE Reload
