team1,team2,score1,score2,event,date,winner
RED Canids,Bounty Hunters,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,RED Canids
ex-KRÜ,Bad Luck,2,0,CCT Season 3 South America Series 8,Results for February 6th 2026,ex-KRÜ
BetBoom,magic,1,2,CCT Season 3 Europe Series 14,Results for February 6th 2026,magic
G2,MOUZ,0,2,IEM Kraków 2026,Results for February 6th 2026,MOUZ
CSDIILIT,los kogutos,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 6th 2026,los kogutos
Ninjas in Pyjamas,Gentle Mates,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,Ninjas in Pyjamas
Gaimin Gladiators,9z,0,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,9z
FOLHA AMARELA,Vasco,1,2,CCT Season 3 South America Series 8,Results for February 6th 2026,Vasco
NRG,Fisher College,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,NRG
Nexus,Bushido Wildcats,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 6th 2026,Nexus
magic,FAVBET,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,magic
Imperial,Bad Luck,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,Imperial
FURIA,Aurora,2,0,IEM Kraków 2026,Results for February 6th 2026,FURIA
GamerLegion,ex-RUBY,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,GamerLegion
QUAZAR,VP.Prodigy,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 6th 2026,VP.Prodigy
TYLOO,FengDa,2,0,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,TYLOO
Procyon,LP,0,2,CCT Season 3 South America Series 8,Results for February 6th 2026,LP
NEXVOID,The Huns,2,1,MESA Pro Series Opening 2026,Results for February 6th 2026,NEXVOID
BetBoom,ex-RUBY,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,BetBoom
Rare Atom,NomadS,2,1,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,Rare Atom
3DMAX,M1X KS,1,2,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,M1X KS
WW,Rebels,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 6th 2026,Rebels
Lynn Vision,Alter Ego,2,0,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,Lynn Vision
The Huns,BMZ,2,0,MESA Pro Series Opening 2026,Results for February 6th 2026,The Huns
The Huns,Morningstar,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,Morningstar
LAG,Wildcard,1,2,Dust2.us Eagle Masters Series 6,Results for February 6th 2026,Wildcard
Outfit 49,F5,2,0,Dust2.us Eagle Masters Series 6,Results for February 6th 2026,Outfit 49
Zomblers,OverKnight,2,0,CCT Season 3 North America Series 3,Results for February 6th 2026,Zomblers
regain,FarmVille,1,0,Dust2.us Eagle Masters Series 6,Results for February 6th 2026,regain
Curralzinho,GameHunters,0,2,CCT Season 3 South America Series 8,Results for February 6th 2026,GameHunters
Mythic,mouse,0,1,CCT Season 3 North America Series 3,Results for February 5th 2026,mouse
ShindeN,BESTIA Academy,2,0,CCT Season 3 South America Series 8,Results for February 5th 2026,ShindeN
FAVBET,ECSTATIC,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,FAVBET
los kogutos,WHITEBIRD,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,WHITEBIRD
Players,Crashers,2,1,CCT Season 3 South America Series 8,Results for February 5th 2026,Players
ECSTATIC,illwill,1,2,NODWIN Clutch Series 4,Results for February 5th 2026,illwill
MASONIC,Bushido Wildcats,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,MASONIC
EYEBALLERS,magic,0,2,CCT Season 3 Europe Series 14,Results for February 5th 2026,magic
ex-RUBY,9INE,2,1,CCT Season 3 Europe Series 14,Results for February 5th 2026,ex-RUBY
Nuclear TigeRES,illwill,0,2,NODWIN Clutch Series 4,Results for February 5th 2026,illwill
BMZ,NomadS,2,0,MESA Pro Series Opening 2026,Results for February 5th 2026,BMZ
CSDIILIT,PRIME,2,0,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,CSDIILIT
NEXVOID,The Huns,2,0,MESA Pro Series Opening 2026,Results for February 5th 2026,NEXVOID
BetBoom,KOLESIE,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,BetBoom
ECSTATIC,GenOne,2,0,NODWIN Clutch Series 4,Results for February 5th 2026,ECSTATIC
home,Nexus,0,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,Nexus
NomadS,The Huns,0,2,MESA Pro Series Opening 2026,Results for February 5th 2026,The Huns
FURIA fe,Prison Breakers,1,0,CCT Season 3 South America Series 8,Results for February 5th 2026,FURIA fe
BMZ,NEXVOID,0,2,MESA Pro Series Opening 2026,Results for February 5th 2026,NEXVOID
LAG,Outfit 49,2,0,CCT Season 3 North America Series 3,Results for February 5th 2026,LAG
Sakura,FarmVille,1,2,Dust2.us Eagle Masters Series 6,Results for February 5th 2026,FarmVille
