team1,team2,score1,score2,event,date,winner,rank1,rank2
ARCRED,Nuclear TigeRES,1,2,CCT Season 3 Europe Series 10,Results for November 1st 2025,Nuclear TigeRES,60,43
Aurora,Legacy,3,2,PGL Masters Bucharest 2025,Results for November 1st 2025,Aurora,11,25
ECSTATIC,BC.Game,2,1,CCT Season 3 Europe Series 9,Results for November 1st 2025,ECSTATIC,50,26
Nuclear TigeRES,FORZE Reload,1,2,NODWIN Clutch Series 2,Results for November 1st 2025,FORZE Reload,43,90
Nuclear TigeRES,FORZE Reload,2,0,CCT Season 3 Contenders Eastern Europe Series 1,Results for November 1st 2025,Nuclear TigeRES,43,90
ARCRED,FAVBET,1,2,CCT Season 3 Europe Series 10,Results for October 31st 2025,FAVBET,60,68
BC.Game,EYEBALLERS,2,1,CCT Season 3 Europe Series 9,Results for October 31st 2025,BC.Game,26,34
GamerLegion,Aurora,0,2,PGL Masters Bucharest 2025,Results for October 31st 2025,Aurora,20,11
paiN,Legacy,1,2,PGL Masters Bucharest 2025,Results for October 31st 2025,Legacy,18,25
B8,Aurora,1,2,PGL Masters Bucharest 2025,Results for October 31st 2025,Aurora,16,11
HEROIC,GamerLegion,1,2,PGL Masters Bucharest 2025,Results for October 31st 2025,GamerLegion,22,20
Marsborne,BOSS,2,0,Dust2.us Eagle Masters Series 4,Results for October 31st 2025,Marsborne,53,94
EYEBALLERS,JiJieHao,2,0,Winline Insight Season 9,Results for October 30th 2025,EYEBALLERS,34,79
Aurora,Astralis,2,1,PGL Masters Bucharest 2025,Results for October 30th 2025,Aurora,11,12
Monte,CYBERSHOKE,0,2,CCT Season 3 Europe Series 9,Results for October 30th 2025,CYBERSHOKE,31,58
K27,Tricked,0,2,European Pro League Cup 2,Results for October 30th 2025,Tricked,40,59
Legacy,FlyQuest,2,0,PGL Masters Bucharest 2025,Results for October 30th 2025,Legacy,25,29
GamerLegion,Gentle Mates,2,0,PGL Masters Bucharest 2025,Results for October 30th 2025,GamerLegion,20,27
B8,Legacy,2,1,PGL Masters Bucharest 2025,Results for October 29th 2025,B8,16,25
GamerLegion,fnatic,2,0,PGL Masters Bucharest 2025,Results for October 29th 2025,GamerLegion,20,33
Liquid,FlyQuest,2,0,PGL Masters Bucharest 2025,Results for October 29th 2025,Liquid,15,29
BetBoom,Gentle Mates,1,2,PGL Masters Bucharest 2025,Results for October 29th 2025,Gentle Mates,32,27
3DMAX,Astralis,0,2,PGL Masters Bucharest 2025,Results for October 29th 2025,Astralis,13,12
fnatic,MIBR,2,0,PGL Masters Bucharest 2025,Results for October 28th 2025,fnatic,33,28
K27,Monte,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 28th 2025,Monte,40,31
FORZE Reload,ARCRED,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 28th 2025,FORZE Reload,90,60
Ninjas in Pyjamas,Gentle Mates,1,2,PGL Masters Bucharest 2025,Results for October 28th 2025,Gentle Mates,21,27
Oramond,Nuclear TigeRES,2,0,CCT Season 3 Europe Series 10,Results for October 28th 2025,Oramond,51,43
B8,paiN,0,2,PGL Masters Bucharest 2025,Results for October 28th 2025,paiN,16,18
3DMAX,FlyQuest,1,2,PGL Masters Bucharest 2025,Results for October 28th 2025,FlyQuest,13,29
Aurora,HEROIC,0,2,PGL Masters Bucharest 2025,Results for October 28th 2025,HEROIC,11,22
Johnny Speeds,CYBERSHOKE,0,2,CCT Season 3 Europe Series 9,Results for October 28th 2025,CYBERSHOKE,73,58
Astralis,Legacy,0,2,PGL Masters Bucharest 2025,Results for October 28th 2025,Legacy,12,25
Liquid,BetBoom,2,1,PGL Masters Bucharest 2025,Results for October 28th 2025,Liquid,15,32
Fake do Biru,BESTIA,1,2,ESL Challenger League Season 50 South America Cup 4,Results for October 28th 2025,BESTIA,100,37
1win,JiJieHao,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 27th 2025,1win,77,79
3DMAX,B8,0,2,PGL Masters Bucharest 2025,Results for October 27th 2025,B8,13,16
Astralis,MIBR,2,0,PGL Masters Bucharest 2025,Results for October 27th 2025,Astralis,12,28
Aurora,Liquid,2,1,PGL Masters Bucharest 2025,Results for October 27th 2025,Aurora,11,15
fnatic,FlyQuest,0,2,PGL Masters Bucharest 2025,Results for October 27th 2025,FlyQuest,33,29
HEROIC,BetBoom,2,0,PGL Masters Bucharest 2025,Results for October 27th 2025,HEROIC,22,32
GamerLegion,paiN,1,2,PGL Masters Bucharest 2025,Results for October 27th 2025,paiN,20,18
Legacy,Gentle Mates,2,0,PGL Masters Bucharest 2025,Results for October 27th 2025,Legacy,25,27
Sharks,Gaimin Gladiators,2,1,ESL Challenger League Season 50 South America Cup 4,Results for October 27th 2025,Sharks,39,64
BESTIA,ShindeN,1,2,ESL Challenger League Season 50 South America Cup 4,Results for October 27th 2025,ShindeN,37,71
NRG,Marsborne,2,1,PrizePicks NA Revival Series 10,Results for October 27th 2025,NRG,19,53
Nemiga,FORZE Reload,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 26th 2025,Nemiga,55,90
JiJieHao,Monte,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 26th 2025,Monte,79,31
Aurora,fnatic,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,Aurora,11,33
Astralis,B8,0,2,PGL Masters Bucharest 2025,Results for October 26th 2025,B8,12,16
BESTIA,Bounty Hunters,0,2,CBCS Masters Xeque Mate 2025,Results for October 26th 2025,Bounty Hunters,37,88
Sashi,Sangal,1,2,CCT Season 3 Europe Series 9,Results for October 26th 2025,Sangal,78,97
NRG,Voca,2,0,PrizePicks NA Revival Series 10,Results for October 26th 2025,NRG,19,49
BetBoom,MIBR,2,1,PGL Masters Bucharest 2025,Results for October 26th 2025,BetBoom,32,28
GamerLegion,FlyQuest,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,GamerLegion,20,29
HEROIC,Ninjas in Pyjamas,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,HEROIC,22,21
Legacy,Liquid,1,2,PGL Masters Bucharest 2025,Results for October 26th 2025,Liquid,25,15
paiN,Gentle Mates,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,paiN,18,27
Voca,BOSS,2,0,PrizePicks NA Revival Series 10,Results for October 25th 2025,Voca,49,94
1win,ECSTATIC,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 25th 2025,1win,77,50
Johnny Speeds,ARCRED,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 25th 2025,ARCRED,73,60
BESTIA,Sharks,0,2,CBCS Masters Xeque Mate 2025,Results for October 25th 2025,Sharks,37,39
Gaimin Gladiators,Bounty Hunters,2,1,ESL Challenger League Season 50 South America Cup 4,Results for October 25th 2025,Gaimin Gladiators,64,88
BESTIA,Bounty Hunters,2,0,CBCS Masters Xeque Mate 2025,Results for October 24th 2025,BESTIA,37,88
ARCRED,SINNERS,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 24th 2025,SINNERS,60,65
CYBERSHOKE,ECSTATIC,0,2,Winline Insight Season 9,Results for October 24th 2025,ECSTATIC,58,50
Fake do Biru,ODDIK,2,1,CBCS Masters Xeque Mate 2025,Results for October 23rd 2025,Fake do Biru,100,47
FORZE Reload,Oramond,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 23rd 2025,FORZE Reload,90,51
Nemiga,Sangal,1,2,Winline Insight Season 9,Results for October 23rd 2025,Sangal,55,97
ECSTATIC,SINNERS,0,2,Winline Insight Season 9,Results for October 23rd 2025,SINNERS,50,65
BOSS,Voca,0,2,Dust2.us Eagle Masters Series 4,Results for October 23rd 2025,Voca,94,49
Johnny Speeds,ARCRED,2,0,CCT Season 3 Europe Series 9,Results for October 22nd 2025,Johnny Speeds,73,60
BIG,BC.Game,2,0,Skyesports Chennai Esports Global Championship 2025 Europe Open Qualifier,Results for October 22nd 2025,BIG,63,26
CYBERSHOKE,SINNERS,0,2,Winline Insight Season 9,Results for October 21st 2025,SINNERS,58,65
CYBERSHOKE,Sangal,0,2,CCT Season 3 Europe Series 9,Results for October 21st 2025,Sangal,58,97
Johnny Speeds,Sangal,0,2,Winline Insight Season 9,Results for October 20th 2025,Sangal,73,97
RED Canids,Gaimin Gladiators,1,2,ESL Challenger League Season 50 South America Cup 3,Results for October 20th 2025,Gaimin Gladiators,38,64
FURIA,Natus Vincere,3,2,Thunderpick World Championship 2025,Results for October 19th 2025,FURIA,2,8
Nemiga,ENCE,2,0,NODWIN Clutch Series 1,Results for October 19th 2025,Nemiga,55,70
ENCE,1win,2,1,NODWIN Clutch Series 1,Results for October 19th 2025,ENCE,70,77
Aurora,The MongolZ,1,2,Thunderpick World Championship 2025,Results for October 19th 2025,The MongolZ,11,10
9INE,Nemiga,1,2,NODWIN Clutch Series 1,Results for October 19th 2025,Nemiga,41,55
3DMAX,Legacy,2,3,CS Asia Championships 2025,Results for October 19th 2025,Legacy,13,25
Liquid,HEROIC,2,0,CS Asia Championships 2025,Results for October 19th 2025,Liquid,15,22
Wildcard,Marsborne,1,0,ESL Challenger League Season 50 North America Cup 3,Results for October 19th 2025,Wildcard,75,53
Bounty Hunters,Sharks,0,2,CCT Season 3 South America Series 5,Results for October 19th 2025,Sharks,88,39
Fake do Biru,Sharks,0,2,CCT Season 3 South America Series 5,Results for October 18th 2025,Sharks,100,39
Natus Vincere,The MongolZ,2,1,Thunderpick World Championship 2025,Results for October 18th 2025,Natus Vincere,8,10
BIG,1win,0,2,NODWIN Clutch Series 1,Results for October 18th 2025,1win,63,77
FURIA,Aurora,2,0,Thunderpick World Championship 2025,Results for October 18th 2025,FURIA,2,11
HEROIC,Legacy,1,2,CS Asia Championships 2025,Results for October 18th 2025,Legacy,22,25
Nemiga,Nuclear TigeRES,2,1,NODWIN Clutch Series 1,Results for October 18th 2025,Nemiga,55,43
Liquid,3DMAX,1,2,CS Asia Championships 2025,Results for October 18th 2025,3DMAX,15,13
Alliance,Johnny Speeds,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 17th 2025,Alliance,76,73
The Huns,Rare Atom,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 17th 2025,Rare Atom,67,72
The MongolZ,9z,2,0,Thunderpick World Championship 2025,Results for October 17th 2025,The MongolZ,10,42
Legacy,FUT,2,1,CS Asia Championships 2025,Results for October 17th 2025,Legacy,25,14
FAVBET,1win,0,2,NODWIN Clutch Series 1,Results for October 17th 2025,1win,68,77
fnatic,3DMAX,1,2,CS Asia Championships 2025,Results for October 17th 2025,3DMAX,33,13
ODDIK,Gaimin Gladiators,1,2,ESL Challenger League Season 50 South America Cup 3,Results for October 17th 2025,Gaimin Gladiators,47,64
Natus Vincere,Aurora,2,1,Thunderpick World Championship 2025,Results for October 16th 2025,Natus Vincere,8,11
RED Canids,Bounty Hunters,0,2,CCT Season 3 South America Series 5,Results for October 16th 2025,Bounty Hunters,38,88
OG,9z,1,2,Thunderpick World Championship 2025,Results for October 16th 2025,9z,52,42
1win,UNiTY,2,1,NODWIN Clutch Series 1,Results for October 16th 2025,1win,77,91
Virtus.pro,3DMAX,1,2,CS Asia Championships 2025,Results for October 16th 2025,3DMAX,61,13
FUT,FaZe,2,1,CS Asia Championships 2025,Results for October 16th 2025,FUT,14,7
FURIA,The MongolZ,2,0,Thunderpick World Championship 2025,Results for October 16th 2025,FURIA,2,10
fnatic,HEROIC,1,2,CS Asia Championships 2025,Results for October 16th 2025,HEROIC,33,22
Liquid,Legacy,2,1,CS Asia Championships 2025,Results for October 16th 2025,Liquid,15,25
FaZe,TYLOO,2,1,CS Asia Championships 2025,Results for October 16th 2025,FaZe,7,30
paiN,FUT,0,2,CS Asia Championships 2025,Results for October 16th 2025,FUT,18,14
ODDIK,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 16th 2025,ODDIK,47,71
Sangal,Johnny Speeds,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 15th 2025,Sangal,97,73
Natus Vincere,Imperial,2,1,Thunderpick World Championship 2025,Results for October 15th 2025,Natus Vincere,8,23
The Huns,Rare Atom,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 15th 2025,The Huns,67,72
The MongolZ,9z,2,0,Thunderpick World Championship 2025,Results for October 15th 2025,The MongolZ,10,42
Lynn Vision,3DMAX,0,2,CS Asia Championships 2025,Results for October 15th 2025,3DMAX,36,13
Virtus.pro,MIBR,2,0,CS Asia Championships 2025,Results for October 15th 2025,Virtus.pro,61,28
FURIA,OG,2,0,Thunderpick World Championship 2025,Results for October 15th 2025,FURIA,2,52
fnatic,TYLOO,2,0,CS Asia Championships 2025,Results for October 15th 2025,fnatic,33,30
FUT,HEROIC,0,2,CS Asia Championships 2025,Results for October 15th 2025,HEROIC,14,22
FaZe,B8,2,1,CS Asia Championships 2025,Results for October 15th 2025,FaZe,7,16
paiN,Fluxo,2,1,CS Asia Championships 2025,Results for October 15th 2025,paiN,18,66
Marsborne,Wildcard,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 15th 2025,Marsborne,53,75
Gaimin Gladiators,Fake do Biru,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 15th 2025,Gaimin Gladiators,64,100
ODDIK,RED Canids,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 15th 2025,RED Canids,47,38
SINNERS,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 14th 2025,Monte,65,31
ARCRED,Alliance,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 14th 2025,Alliance,60,76
3DMAX,Legacy,1,2,CS Asia Championships 2025,Results for October 14th 2025,Legacy,13,25
Liquid,MIBR,2,0,CS Asia Championships 2025,Results for October 14th 2025,Liquid,15,28
GamerLegion,Lynn Vision,1,2,CS Asia Championships 2025,Results for October 14th 2025,Lynn Vision,20,36
The Huns,Virtus.pro,0,2,CS Asia Championships 2025,Results for October 14th 2025,Virtus.pro,67,61
HEROIC,B8,16,12,CS Asia Championships 2025,Results for October 14th 2025,HEROIC,22,16
FaZe,FUT,11,13,CS Asia Championships 2025,Results for October 14th 2025,FUT,7,14
TYLOO,Fluxo,22,20,CS Asia Championships 2025,Results for October 14th 2025,TYLOO,30,66
paiN,fnatic,8,13,CS Asia Championships 2025,Results for October 14th 2025,fnatic,18,33
Lynn Vision,MIBR,4,13,CS Asia Championships 2025,Results for October 14th 2025,MIBR,36,28
GamerLegion,Liquid,9,13,CS Asia Championships 2025,Results for October 14th 2025,Liquid,20,15
Virtus.pro,Legacy,2,13,CS Asia Championships 2025,Results for October 14th 2025,Legacy,61,25
3DMAX,The Huns,13,1,CS Asia Championships 2025,Results for October 14th 2025,3DMAX,13,67
BetBoom,SINNERS,2,0,Exort The Proving Grounds Season 5,Results for October 13th 2025,BetBoom,32,65
1win,Nuclear TigeRES,0,2,NODWIN Clutch Series 1,Results for October 13th 2025,Nuclear TigeRES,77,43
ECSTATIC,SINNERS,1,2,Exort The Proving Grounds Season 5,Results for October 13th 2025,SINNERS,50,65
FAVBET,UNiTY,2,0,NODWIN Clutch Series 1,Results for October 13th 2025,FAVBET,68,91
9z,BESTIA,2,3,Argentina Game Show Cup 2025,Results for October 13th 2025,BESTIA,42,37
9INE,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 12th 2025,SINNERS,41,65
Falcons,Vitality,0,3,ESL Pro League Season 22,Results for October 12th 2025,Vitality,3,1
BetBoom,1win,2,0,CCT Season 3 Europe Series 8,Results for October 12th 2025,BetBoom,32,77
PARIVISION,Inner Circle,3,0,Galaxy Battle 2025 Phase 4,Results for October 12th 2025,PARIVISION,6,44
MOUZ,FaZe,2,0,ESL Pro League Season 22,Results for October 12th 2025,MOUZ,4,7
BetBoom,Johnny Speeds,2,1,Exort The Proving Grounds Season 5,Results for October 12th 2025,BetBoom,32,73
FaZe,Vitality,1,2,ESL Pro League Season 22,Results for October 11th 2025,Vitality,7,1
Inner Circle,Nemiga,2,0,Galaxy Battle 2025 Phase 4,Results for October 11th 2025,Inner Circle,44,55
PARIVISION,Gentle Mates,2,0,Galaxy Battle 2025 Phase 4,Results for October 11th 2025,PARIVISION,6,27
MOUZ,Falcons,0,2,ESL Pro League Season 22,Results for October 11th 2025,Falcons,4,3
Sashi,Johnny Speeds,0,2,Exort The Proving Grounds Season 5,Results for October 11th 2025,Johnny Speeds,78,73
1win,JiJieHao,1,0,CCT Season 3 Europe Series 8,Results for October 11th 2025,1win,77,79
BESTIA,ShindeN,13,5,Argentina Game Show Cup 2025,Results for October 11th 2025,BESTIA,37,71
Alliance,Johnny Speeds,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 10th 2025,Johnny Speeds,76,73
FURIA,Vitality,1,2,ESL Pro League Season 22,Results for October 10th 2025,Vitality,2,1
Gentle Mates,Betclic,2,1,Galaxy Battle 2025 Phase 4,Results for October 10th 2025,Gentle Mates,27,93
FAVBET,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 10th 2025,Monte,68,31
ECSTATIC,Oramond,2,0,Exort The Proving Grounds Season 5,Results for October 10th 2025,ECSTATIC,50,51
Spirit,FaZe,0,2,ESL Pro League Season 22,Results for October 10th 2025,FaZe,5,7
BetBoom,Sangal,2,1,Exort The Proving Grounds Season 5,Results for October 10th 2025,BetBoom,32,97
Sashi,CYBERSHOKE,2,0,CCT Season 3 Europe Series 8,Results for October 10th 2025,Sashi,78,58
Monte,Inner Circle,0,2,Galaxy Battle 2025 Phase 4,Results for October 10th 2025,Inner Circle,31,44
MOUZ,Natus Vincere,2,1,ESL Pro League Season 22,Results for October 10th 2025,MOUZ,4,8
3DMAX,Falcons,1,2,ESL Pro League Season 22,Results for October 10th 2025,Falcons,13,3
CYBERSHOKE,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,Monte,58,31
FAVBET,EYEBALLERS,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,FAVBET,68,34
Nemiga,JiJieHao,2,1,Galaxy Battle 2025 Phase 4,Results for October 9th 2025,Nemiga,55,79
ECSTATIC,EYEBALLERS,1,2,CCT Season 3 Europe Series 8,Results for October 9th 2025,EYEBALLERS,50,34
Tricked,UNiTY,1,2,NODWIN Clutch Series 1,Results for October 9th 2025,UNiTY,59,91
Sangal,JiJieHao,2,1,Exort The Proving Grounds Season 5,Results for October 9th 2025,Sangal,97,79
JiJieHao,Johnny Speeds,2,1,CCT Season 3 Europe Series 8,Results for October 9th 2025,JiJieHao,79,73
Gaimin Gladiators,ODDIK,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,ODDIK,64,47
Monte,Sangal,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,Sangal,31,97
Aurora,FaZe,1,2,ESL Pro League Season 22,Results for October 8th 2025,FaZe,11,7
Oramond,1win,2,0,NODWIN Clutch Series 1,Results for October 8th 2025,Oramond,51,77
G2,3DMAX,0,2,ESL Pro League Season 22,Results for October 8th 2025,3DMAX,9,13
PARIVISION,FAVBET,2,0,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,PARIVISION,6,68
Tricked,EYEBALLERS,0,2,CCT Season 3 Europe Series 8,Results for October 8th 2025,EYEBALLERS,59,34
The MongolZ,Natus Vincere,0,2,ESL Pro League Season 22,Results for October 8th 2025,Natus Vincere,10,8
ARCRED,Betclic,0,2,Exort The Proving Grounds Season 5,Results for October 8th 2025,Betclic,60,93
JiJieHao,Tricked,2,0,Exort The Proving Grounds Season 5,Results for October 8th 2025,JiJieHao,79,59
CYBERSHOKE,Nemiga,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,CYBERSHOKE,58,55
Oramond,Sashi,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,Sashi,51,78
Vitality,G2,2,0,ESL Pro League Season 22,Results for October 7th 2025,Vitality,1,9
FaZe,Inner Circle,2,0,ESL Pro League Season 22,Results for October 7th 2025,FaZe,7,44
Sashi,Monte,0,2,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,Monte,78,31
3DMAX,MOUZ,0,2,ESL Pro League Season 22,Results for October 7th 2025,MOUZ,13,4
The MongolZ,Gentle Mates,2,0,ESL Pro League Season 22,Results for October 7th 2025,The MongolZ,10,27
Sangal,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 7th 2025,SINNERS,97,65
FURIA,Aurora,2,1,ESL Pro League Season 22,Results for October 7th 2025,FURIA,2,11
Johnny Speeds,SINNERS,2,1,CCT Season 3 Europe Series 8,Results for October 7th 2025,Johnny Speeds,73,65
Natus Vincere,HOTU,2,0,ESL Pro League Season 22,Results for October 7th 2025,Natus Vincere,8,35
Betclic,Alliance,2,1,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,Betclic,93,76
FAVBET,1win,0,2,NODWIN Clutch Series 1,Results for October 7th 2025,1win,68,77
MOUZ,Falcons,1,2,ESL Pro League Season 22,Results for October 6th 2025,Falcons,4,3
ARCRED,Johnny Speeds,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Johnny Speeds,60,73
SINNERS,JiJieHao,2,0,Exort The Proving Grounds Season 5,Results for October 6th 2025,SINNERS,65,79
Spirit,G2,2,0,ESL Pro League Season 22,Results for October 6th 2025,Spirit,5,9
HOTU,Sangal,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Sangal,35,97
The MongolZ,GamerLegion,2,1,ESL Pro League Season 22,Results for October 6th 2025,The MongolZ,10,20
FAVBET,EYEBALLERS,1,2,CCT Season 3 Europe Series 8,Results for October 6th 2025,EYEBALLERS,68,34
Astralis,FaZe,0,2,ESL Pro League Season 22,Results for October 6th 2025,FaZe,12,7
3DMAX,Natus Vincere,2,1,ESL Pro League Season 22,Results for October 6th 2025,3DMAX,13,8
Oramond,FORZE Reload,2,1,NODWIN Clutch Series 1,Results for October 6th 2025,Oramond,51,90
Inner Circle,FURIA,0,2,ESL Pro League Season 22,Results for October 6th 2025,FURIA,44,2
ARCRED,EYEBALLERS,1,2,Exort The Proving Grounds Season 5,Results for October 6th 2025,EYEBALLERS,60,34
Gentle Mates,Aurora,0,2,ESL Pro League Season 22,Results for October 6th 2025,Aurora,27,11
Vitality,HOTU,2,0,ESL Pro League Season 22,Results for October 6th 2025,Vitality,1,35
fnatic,9INE,3,2,Fragadelphia Blocktober 2025,Results for October 6th 2025,fnatic,33,41
RED Canids,MIBR,2,3,Circuit X South America Season 1,Results for October 6th 2025,MIBR,38,28
OG,ECSTATIC,2,1,Fragadelphia Blocktober 2025,Results for October 6th 2025,OG,52,50
9INE,ECSTATIC,2,1,Fragadelphia Blocktober 2025,Results for October 5th 2025,9INE,41,50
SINNERS,CYBERSHOKE,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,SINNERS,65,58
FaZe,3DMAX,0,2,ESL Pro League Season 22,Results for October 5th 2025,3DMAX,7,13
FURIA,G2,0,2,ESL Pro League Season 22,Results for October 5th 2025,G2,2,9
ShindeN,Fluxo,0,2,Circuit X South America Season 1,Results for October 5th 2025,Fluxo,71,66
Johnny Speeds,Sangal,2,1,Exort The Proving Grounds Season 5,Results for October 5th 2025,Johnny Speeds,73,97
OG,fnatic,0,2,Fragadelphia Blocktober 2025,Results for October 5th 2025,fnatic,52,33
Vitality,GamerLegion,2,0,ESL Pro League Season 22,Results for October 5th 2025,Vitality,1,20
Spirit,HOTU,2,0,ESL Pro League Season 22,Results for October 5th 2025,Spirit,5,35
Aurora,Astralis,2,1,ESL Pro League Season 22,Results for October 5th 2025,Aurora,11,12
MOUZ,Gentle Mates,2,0,ESL Pro League Season 22,Results for October 5th 2025,MOUZ,4,27
Tricked,1win,1,2,CCT Season 3 Europe Series 8,Results for October 5th 2025,1win,59,77
The MongolZ,Inner Circle,0,2,ESL Pro League Season 22,Results for October 5th 2025,Inner Circle,10,44
Falcons,Natus Vincere,2,0,ESL Pro League Season 22,Results for October 5th 2025,Falcons,3,8
Oramond,CYBERSHOKE,2,0,Exort The Proving Grounds Season 5,Results for October 5th 2025,Oramond,51,58
ECSTATIC,Sharks,2,0,Fragadelphia Blocktober 2025,Results for October 5th 2025,ECSTATIC,50,39
MIBR,Fluxo,2,1,Circuit X South America Season 1,Results for October 5th 2025,MIBR,28,66
fnatic,BIG,2,1,Fragadelphia Blocktober 2025,Results for October 5th 2025,fnatic,33,63
ShindeN,RED Canids,0,2,Circuit X South America Season 1,Results for October 5th 2025,RED Canids,71,38
OG,Wildcard,2,1,Fragadelphia Blocktober 2025,Results for October 5th 2025,OG,52,75
Imperial,Fluxo,1,2,Circuit X South America Season 1,Results for October 4th 2025,Fluxo,23,66
9INE,9z,2,1,Fragadelphia Blocktober 2025,Results for October 4th 2025,9INE,41,42
MIBR,ODDIK,2,0,Circuit X South America Season 1,Results for October 4th 2025,MIBR,28,47
Betclic,Tricked,1,2,Exort The Proving Grounds Season 5,Results for October 4th 2025,Tricked,93,59
ECSTATIC,Bounty Hunters,2,0,Fragadelphia Blocktober 2025,Results for October 4th 2025,ECSTATIC,50,88
FURIA,3DMAX,2,0,ESL Pro League Season 22,Results for October 4th 2025,FURIA,2,13
Vitality,Gentle Mates,0,2,ESL Pro League Season 22,Results for October 4th 2025,Gentle Mates,1,27
Johnny Speeds,FAVBET,2,0,CCT Season 3 Europe Series 8,Results for October 4th 2025,Johnny Speeds,73,68
Aurora,Natus Vincere,0,2,ESL Pro League Season 22,Results for October 4th 2025,Natus Vincere,11,8
The MongolZ,HOTU,1,2,ESL Pro League Season 22,Results for October 4th 2025,HOTU,10,35
G2,FaZe,1,0,ESL Pro League Season 22,Results for October 4th 2025,G2,9,7
Falcons,Astralis,2,0,ESL Pro League Season 22,Results for October 4th 2025,Falcons,3,12
JiJieHao,Oramond,2,1,Exort The Proving Grounds Season 5,Results for October 4th 2025,JiJieHao,79,51
Spirit,Inner Circle,2,1,ESL Pro League Season 22,Results for October 4th 2025,Spirit,5,44
MOUZ,GamerLegion,2,0,ESL Pro League Season 22,Results for October 4th 2025,MOUZ,4,20
CYBERSHOKE,FAVBET,2,1,CCT Season 3 Europe Series 8,Results for October 3rd 2025,CYBERSHOKE,58,68
Fluxo,RED Canids,0,2,Circuit X South America Season 1,Results for October 3rd 2025,RED Canids,66,38
Johnny Speeds,ARCRED,2,0,Exort The Proving Grounds Season 5,Results for October 3rd 2025,Johnny Speeds,73,60
Imperial,Gaimin Gladiators,2,0,Circuit X South America Season 1,Results for October 3rd 2025,Imperial,23,64
MIBR,ShindeN,2,0,Circuit X South America Season 1,Results for October 2nd 2025,MIBR,28,71
FURIA,B8,2,1,ESL Pro League Season 22 Stage 1,Results for October 2nd 2025,FURIA,2,16
Astralis,Legacy,2,1,ESL Pro League Season 22 Stage 1,Results for October 2nd 2025,Astralis,12,25
Johnny Speeds,CYBERSHOKE,2,0,Exort The Proving Grounds Season 5,Results for October 2nd 2025,Johnny Speeds,73,58
EYEBALLERS,1win,0,2,CCT Season 3 Europe Series 8,Results for October 2nd 2025,1win,34,77
The Huns,Chinggis Warriors,2,0,ESN Fall Showdown 2025,Results for October 2nd 2025,The Huns,67,83
Sangal,FAVBET,1,2,Galaxy Battle 2025 Phase 4,Results for October 2nd 2025,FAVBET,97,68
G2,ENCE,2,0,ESL Pro League Season 22 Stage 1,Results for October 2nd 2025,G2,9,70
Oramond,Sangal,0,2,Exort The Proving Grounds Season 5,Results for October 2nd 2025,Sangal,51,97
CYBERSHOKE,FAVBET,2,1,CCT Season 3 Europe Series 7,Results for October 1st 2025,CYBERSHOKE,58,68
Legacy,Gentle Mates,0,2,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,Gentle Mates,25,27
