match_id,team1,team2,map_name,score_t1,score_t2,map_winner,map_number,date
2389226,Inner Circle,Betclic,Mirage,11,13,Betclic,2,2nd of February 2026
2389226,Inner Circle,Betclic,Overpass,5,13,Betclic,3,2nd of February 2026
2389652,NRG,Falcons,Inferno,5,13,Falcons,1,2nd of February 2026
2389652,NRG,Falcons,Ancient,13,11,NRG,2,2nd of February 2026
2389652,NRG,Falcons,Dust2,9,13,Falcons,3,2nd of February 2026
2389650,FaZe,BC.Game,Dust2,13,8,FaZe,1,2nd of February 2026
2389650,FaZe,BC.Game,Nuke,6,13,BC.Game,2,2nd of February 2026
2389650,FaZe,BC.Game,Ancient,13,3,FaZe,3,2nd of February 2026
2389723,WHITEBIRD,RUSTEC,Nuke,13,1,WHITEBIRD,1,2nd of February 2026
2389723,WHITEBIRD,RUSTEC,Overpass,13,7,WHITEBIRD,2,2nd of February 2026
2389722,ARCRED,K27,Anubis,13,3,ARCRED,1,2nd of February 2026
2389722,ARCRED,K27,Ancient,13,7,ARCRED,2,2nd of February 2026
2389225,9INE,MOUZ NXT,Anubis,11,13,MOUZ NXT,1,2nd of February 2026
2389225,9INE,MOUZ NXT,Overpass,13,10,9INE,2,2nd of February 2026
2389225,9INE,MOUZ NXT,Nuke,13,10,9INE,3,2nd of February 2026
2389651,MOUZ,Aurora,Dust2,7,13,Aurora,1,2nd of February 2026
2389651,MOUZ,Aurora,Inferno,9,13,Aurora,2,2nd of February 2026
2389649,3DMAX,Vitality,Inferno,6,13,Vitality,1,2nd of February 2026
2389649,3DMAX,Vitality,Dust2,6,13,Vitality,2,2nd of February 2026
2389721,Nuclear TigeRES,Nemesis,Mirage,13,11,Nuclear TigeRES,1,2nd of February 2026
2389721,Nuclear TigeRES,Nemesis,Inferno,13,5,Nuclear TigeRES,2,2nd of February 2026
2389555,1win,Johnny Speeds,Overpass,13,3,1win,1,2nd of February 2026
2389555,1win,Johnny Speeds,Dust2,13,9,1win,2,2nd of February 2026
2389720,K27,RUSTEC,Ancient,13,3,K27,1,2nd of February 2026
2389720,K27,RUSTEC,Anubis,13,9,K27,2,2nd of February 2026
2389055,FAVBET,ex-RUBY,Ancient,13,8,FAVBET,1,2nd of February 2026
2389055,FAVBET,ex-RUBY,Dust2,8,13,ex-RUBY,2,2nd of February 2026
2389055,FAVBET,ex-RUBY,Overpass,13,10,FAVBET,3,2nd of February 2026
2389719,Nemiga,BET-M,Nuke,6,13,BET-M,1,2nd of February 2026
2389719,Nemiga,BET-M,Anubis,13,0,Nemiga,2,2nd of February 2026
2389719,Nemiga,BET-M,Ancient,13,11,Nemiga,3,2nd of February 2026
2389718,ARCRED,WHITEBIRD,Mirage,13,10,ARCRED,1,2nd of February 2026
2389718,ARCRED,WHITEBIRD,Inferno,13,10,ARCRED,2,2nd of February 2026
2389224,Nuclear TigeRES,UNiTY,Mirage,13,2,Nuclear TigeRES,1,2nd of February 2026
2389224,Nuclear TigeRES,UNiTY,Ancient,13,8,Nuclear TigeRES,2,2nd of February 2026
2389697,MIBR,RED Canids,Nuke,9,13,RED Canids,1,2nd of February 2026
2389697,MIBR,RED Canids,Mirage,13,8,MIBR,2,2nd of February 2026
2389697,MIBR,RED Canids,Ancient,13,9,MIBR,3,2nd of February 2026
2389696,RED Canids,BESTIA,Nuke,13,9,RED Canids,1,1st of February 2026
2389696,RED Canids,BESTIA,Ancient,13,16,BESTIA,2,1st of February 2026
2389696,RED Canids,BESTIA,Inferno,13,10,RED Canids,3,1st of February 2026
2389887,ex-RUBY,MOUZ NXT,Ancient,13,7,ex-RUBY,1,1st of February 2026
2389887,ex-RUBY,MOUZ NXT,Nuke,13,11,ex-RUBY,2,1st of February 2026
2389648,PARIVISION,Astralis,Overpass,11,13,Astralis,1,1st of February 2026
2389648,PARIVISION,Astralis,Dust2,16,13,PARIVISION,2,1st of February 2026
2389648,PARIVISION,Astralis,Ancient,7,13,Astralis,3,1st of February 2026
2389647,Natus Vincere,Spirit,Mirage,14,16,Spirit,1,1st of February 2026
2389647,Natus Vincere,Spirit,Dust2,3,13,Spirit,2,1st of February 2026
2389646,The MongolZ,FURIA,Mirage,13,11,The MongolZ,1,1st of February 2026
2389646,The MongolZ,FURIA,Inferno,12,16,FURIA,2,1st of February 2026
2389646,The MongolZ,FURIA,Nuke,2,13,FURIA,3,1st of February 2026
2389695,ODDIK,MIBR,Anubis,11,13,MIBR,1,1st of February 2026
2389695,ODDIK,MIBR,Inferno,13,9,ODDIK,2,1st of February 2026
2389695,ODDIK,MIBR,Ancient,11,13,MIBR,3,1st of February 2026
2389645,G2,FUT,Mirage,9,13,FUT,1,1st of February 2026
2389645,G2,FUT,Dust2,13,9,G2,2,1st of February 2026
2389645,G2,FUT,Ancient,13,9,G2,3,1st of February 2026
2389553,ex-RUBY,FORZE Reload,Dust2,13,9,ex-RUBY,1,1st of February 2026
2389553,ex-RUBY,FORZE Reload,Ancient,16,12,ex-RUBY,2,1st of February 2026
2389715,Nuclear TigeRES,BET-M,Mirage,9,13,BET-M,1,1st of February 2026
2389715,Nuclear TigeRES,BET-M,Inferno,13,5,Nuclear TigeRES,2,1st of February 2026
2389715,Nuclear TigeRES,BET-M,Ancient,13,11,Nuclear TigeRES,3,1st of February 2026
2389644,Falcons,Aurora,Anubis,7,13,Aurora,1,1st of February 2026
2389644,Falcons,Aurora,Mirage,13,10,Falcons,2,1st of February 2026
2389644,Falcons,Aurora,Inferno,8,13,Aurora,3,1st of February 2026
2389710,Nemesis,Nemiga,Dust2,7,13,Nemiga,1,1st of February 2026
2389710,Nemesis,Nemiga,Nuke,9,13,Nemiga,2,1st of February 2026
2389643,MOUZ,NRG,Dust2,13,9,MOUZ,1,1st of February 2026
2389643,MOUZ,NRG,Ancient,13,9,MOUZ,2,1st of February 2026
2389054,Sashi,Oramond,Mirage,4,13,Oramond,1,1st of February 2026
2389054,Sashi,Oramond,Inferno,13,2,Sashi,2,1st of February 2026
2389054,Sashi,Oramond,Ancient,10,13,Oramond,3,1st of February 2026
2389053,1win,magic,Overpass,3,13,magic,1,1st of February 2026
2389053,1win,magic,Mirage,13,11,1win,2,1st of February 2026
2389053,1win,magic,Inferno,7,13,magic,3,1st of February 2026
2389693,BESTIA,Marsborne,Inferno,6,13,Marsborne,1,1st of February 2026
2389693,BESTIA,Marsborne,Ancient,19,16,BESTIA,2,1st of February 2026
2389693,BESTIA,Marsborne,Nuke,13,9,BESTIA,3,1st of February 2026
2389694,MIBR,9z,Nuke,16,14,MIBR,1,1st of February 2026
2389694,MIBR,9z,Inferno,16,13,MIBR,2,1st of February 2026
2389702,WHITEBIRD,FORZE Reload,Overpass,13,9,WHITEBIRD,1,31st of January 2026
2389702,WHITEBIRD,FORZE Reload,Ancient,13,16,FORZE Reload,2,31st of January 2026
2389702,WHITEBIRD,FORZE Reload,Dust2,13,9,WHITEBIRD,3,31st of January 2026
