team1,team2,score1,score2,event,date,match_url,winner
Fisher College,1WIN NA,2,1,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390171/fisher-college-vs-1win-na-iem-atlanta-2026-americas-open-qualifier,Fisher College
ClayMakers,Wildcard,0,2,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390168/claymakers-vs-wildcard-iem-atlanta-2026-americas-open-qualifier,Wildcard
SportsBetExpert,Omen,2,0,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390170/sportsbetexpert-vs-omen-iem-atlanta-2026-americas-open-qualifier,SportsBetExpert
mouse,F5,2,0,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390169/mouse-vs-f5-iem-atlanta-2026-americas-open-qualifier,mouse
ex-KRÜ,9z,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,https://www.hltv.org/matches/2389788/ex-kr-vs-9z-cct-season-3-south-america-series-8,9z
Rave,regain,1,0,CCT Season 3 North America Series 3,Results for February 8th 2026,https://www.hltv.org/matches/2389760/rave-vs-regain-cct-season-3-north-america-series-3,Rave
LP,Vasco,2,0,CCT Season 3 South America Series 8,Results for February 8th 2026,https://www.hltv.org/matches/2389787/lp-vs-vasco-cct-season-3-south-america-series-8,LP
pugs4contract,BET-M,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390084/pugs4contract-vs-bet-m-iem-atlanta-2026-open-qualifier,BET-M
OG,Phantom,2,0,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390085/og-vs-phantom-iem-atlanta-2026-open-qualifier,OG
FURIA,Vitality,1,3,IEM Kraków 2026,Results for February 8th 2026,https://www.hltv.org/matches/2389666/furia-vs-vitality-iem-krakw-2026,Vitality
ASTRAL,ex-Zero Tenacity,0,2,CCT Season 3 Europe Series 15,Results for February 8th 2026,https://www.hltv.org/matches/2389840/astral-vs-ex-zero-tenacity-cct-season-3-europe-series-15,ex-Zero Tenacity
MOUZ NXT,Nuclear TigeRES,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390086/mouz-nxt-vs-nuclear-tigeres-iem-atlanta-2026-open-qualifier,Nuclear TigeRES
ARCRED,BASEMENT BOYS,0,1,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390087/arcred-vs-basement-boys-iem-atlanta-2026-open-qualifier,BASEMENT BOYS
NRG,Passion UA,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389917/nrg-vs-passion-ua-ace-na-masters-2026-season-1-blast-premier-rising-event,NRG
BASEMENT BOYS,brazylijski luz,19,17,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390083/basement-boys-vs-brazylijski-luz-iem-atlanta-2026-open-qualifier,BASEMENT BOYS
Lazer Cats,Phantom,10,13,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390078/lazer-cats-vs-phantom-iem-atlanta-2026-open-qualifier,Phantom
BET-M,QWENTRY,13,10,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390077/bet-m-vs-qwentry-iem-atlanta-2026-open-qualifier,BET-M
Fake do Biru,Players,2,0,CCT Season 3 South America Series 8,Results for February 8th 2026,https://www.hltv.org/matches/2389786/fake-do-biru-vs-players-cct-season-3-south-america-series-8,Fake do Biru
