match_id,veto_order,team,action,map_name
2389742,3,Underground,picked,Overpass
2389742,4,THUNDER dOWNUNDER,picked,Nuke
2389742,5,Underground,removed,Ancient
2389742,6,THUNDER dOWNUNDER,removed,Anubis
2389930,1,SportsBetExpert,removed,Nuke
2389930,2,Zomblers,removed,Overpass
2389930,3,SportsBetExpert,picked,Ancient
2389930,4,Zomblers,picked,Inferno
2389930,5,SportsBetExpert,removed,Anubis
2389930,6,Zomblers,removed,Mirage
2389921,1,Galorys,removed,Inferno
2389921,2,Sharks,removed,Dust2
2389921,3,Galorys,picked,Overpass
2389921,4,Sharks,picked,Nuke
2389921,5,Galorys,removed,Mirage
2389921,6,Sharks,removed,Ancient
2389756,1,mouse,removed,Ancient
2389756,2,regain,removed,Nuke
2389756,3,mouse,picked,Mirage
2389756,4,regain,picked,Inferno
2389756,5,mouse,removed,Anubis
2389756,6,regain,removed,Overpass
2390075,1,FOLHA AMARELA,removed,Inferno
2390075,2,LP,removed,Anubis
2390075,3,FOLHA AMARELA,picked,Dust2
2390075,4,LP,picked,Overpass
2390075,5,FOLHA AMARELA,removed,Mirage
2390075,6,LP,removed,Ancient
2389779,1,ex-KRÜ,removed,Ancient
2389779,2,Bad Luck,removed,Dust2
2389779,3,ex-KRÜ,picked,Mirage
2389779,4,Bad Luck,picked,Nuke
2389779,5,ex-KRÜ,removed,Anubis
2389779,6,Bad Luck,removed,Overpass
2389832,1,CSDIILIT,removed,Dust2
2389832,2,los kogutos,removed,Inferno
2389832,3,CSDIILIT,picked,Mirage
2389832,4,los kogutos,picked,Ancient
2389832,5,CSDIILIT,removed,Anubis
2389832,6,los kogutos,removed,Overpass
2389778,1,Vasco,removed,Nuke
2389778,2,FOLHA AMARELA,removed,Overpass
2389778,3,Vasco,picked,Inferno
2389778,4,FOLHA AMARELA,picked,Dust2
2389778,5,Vasco,removed,Ancient
2389778,6,FOLHA AMARELA,removed,Mirage
2389911,1,Fisher College,removed,Dust2
2389911,2,NRG,removed,Nuke
2389911,3,Fisher College,picked,Ancient
2389911,4,NRG,picked,Mirage
2389911,5,Fisher College,removed,Inferno
2389911,6,NRG,removed,Anubis
2389831,1,Nexus,removed,Nuke
2389831,2,Bushido Wildcats,removed,Ancient
2389831,3,Nexus,picked,Overpass
2389831,4,Bushido Wildcats,picked,Inferno
2389831,5,Nexus,removed,Anubis
2389831,6,Bushido Wildcats,removed,Mirage
