match_id,map_name,map_number,team1,team2,pistol1_winner,pistol2_winner
2385814,Overpass,2,Marsborne,Wildcard,Marsborne,Wildcard
2385329,Mirage,1,The MongolZ,FURIA,The MongolZ,FURIA
2385329,Inferno,2,The MongolZ,FURIA,The MongolZ,The MongolZ
2385329,Nuke,3,The MongolZ,FURIA,FURIA,FURIA
2385329,Overpass,4,The MongolZ,FURIA,The MongolZ,FURIA
2385329,Dust2,5,The MongolZ,FURIA,The MongolZ,FURIA
2385672,Overpass,1,K27,FORZE Reload,FORZE Reload,K27
2385672,Train,2,K27,FORZE Reload,K27,K27
2385822,Overpass,1,Nemiga,Monte,Nemiga,Nemiga
2385822,Ancient,2,Nemiga,Monte,Monte,Monte
2385816,Dust2,1,BC.Game,Alliance,Alliance,Alliance
2385816,Inferno,2,BC.Game,Alliance,BC.Game,Alliance
2385407,Nuke,1,Natus Vincere,Ninjas in Pyjamas,Natus Vincere,Ninjas in Pyjamas
2385407,Inferno,2,Natus Vincere,Ninjas in Pyjamas,Ninjas in Pyjamas,Natus Vincere
2385847,Ancient,1,SINNERS,FORZE Reload,FORZE Reload,FORZE Reload
2385847,Dust2,2,SINNERS,FORZE Reload,SINNERS,SINNERS
2385847,Nuke,3,SINNERS,FORZE Reload,FORZE Reload,SINNERS
2385406,Train,1,Ninjas in Pyjamas,B8,Ninjas in Pyjamas,B8
2385406,Dust2,2,Ninjas in Pyjamas,B8,Ninjas in Pyjamas,Ninjas in Pyjamas
2385754,Dust2,1,Sashi,Betclic,Sashi,Sashi
2385754,Nuke,2,Sashi,Betclic,Sashi,Betclic
2385754,Train,3,Sashi,Betclic,Betclic,Sashi
2385542,Nuke,1,Tricked,FAVBET,Tricked,FAVBET
2385542,Train,2,Tricked,FAVBET,FAVBET,Tricked
2385542,Inferno,3,Tricked,FAVBET,Tricked,Tricked
2385820,Overpass,1,ENCE,Sangal,Sangal,Sangal
2385820,Ancient,2,ENCE,Sangal,ENCE,ENCE
2385820,Nuke,3,ENCE,Sangal,ENCE,Sangal
2385616,Default,1,Inner Circle,K27,K27,K27
2385616,Overpass,2,Inner Circle,K27,K27,K27
2385616,Mirage,3,Inner Circle,K27,K27,K27
2385405,Inferno,1,Gentle Mates,B8,B8,B8
2385405,Mirage,2,Gentle Mates,B8,B8,B8
2385405,Ancient,3,Gentle Mates,B8,Gentle Mates,Gentle Mates
2385836,Train,1,Sharks,9z,9z,9z
2385836,Inferno,2,Sharks,9z,9z,9z
2385836,Overpass,3,Sharks,9z,9z,Sharks
2385328,Train,1,FURIA,Falcons,FURIA,Falcons
2385328,Nuke,2,FURIA,Falcons,FURIA,FURIA
2385404,Nuke,1,Ninjas in Pyjamas,Natus Vincere,Natus Vincere,Ninjas in Pyjamas
2385404,Inferno,2,Ninjas in Pyjamas,Natus Vincere,Ninjas in Pyjamas,Natus Vincere
2385487,Ancient,1,Chinggis Warriors,Rare Atom,Chinggis Warriors,Rare Atom
2385487,Mirage,2,Chinggis Warriors,Rare Atom,Chinggis Warriors,Chinggis Warriors
2385487,Inferno,3,Chinggis Warriors,Rare Atom,Chinggis Warriors,Rare Atom
2385327,Dust2,1,The MongolZ,Liquid,The MongolZ,Liquid
2385327,Mirage,2,The MongolZ,Liquid,The MongolZ,Liquid
2385327,Ancient,3,The MongolZ,Liquid,The MongolZ,The MongolZ
2385403,Train,1,B8,Passion UA,Passion UA,Passion UA
2385403,Dust2,2,B8,Passion UA,Passion UA,B8
2385772,Dust2,1,CYBERSHOKE,JiJieHao,JiJieHao,JiJieHao
2385772,Ancient,2,CYBERSHOKE,JiJieHao,CYBERSHOKE,CYBERSHOKE
2385635,Train,1,BetBoom,Sashi,BetBoom,BetBoom
2385635,Nuke,2,BetBoom,Sashi,BetBoom,Sashi
2385402,Mirage,1,Gentle Mates,PARIVISION,PARIVISION,Gentle Mates
2385402,Inferno,2,Gentle Mates,PARIVISION,PARIVISION,PARIVISION
2385402,Ancient,3,Gentle Mates,PARIVISION,Gentle Mates,PARIVISION
